dataset,regime,noise_type,noise_rate,alpha,gamma,seed_count,row_count,certified_seed_count,mean_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_certified_rows,mean_test_risk_certified_rows,gamma_label
cifar10,asym20,asymmetric,0.2,0.05,0.5,3,3,0,0.0,,,,buffered
cifar10,asym20,asymmetric,0.2,0.05,0.7,3,3,0,0.0,,,,buffered
cifar10,asym20,asymmetric,0.2,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar10,asym20,asymmetric,0.2,0.1,0.5,3,3,3,0.38810712072098713,0.38810712072098713,0.07021578796992962,0.056035774004421134,buffered
cifar10,asym20,asymmetric,0.2,0.1,0.7,3,3,3,0.5143017331417302,0.5143017331417302,0.08272805779385657,0.06922507520331343,buffered
cifar10,asym20,asymmetric,0.2,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar10,clean,symmetric,0.0,0.05,0.5,3,3,3,0.9422407489443184,0.9422407489443184,0.0318088474842437,0.031317003996588134,buffered
cifar10,clean,symmetric,0.0,0.05,0.7,3,3,3,0.9709095135721322,0.9709095135721322,0.04061707839927504,0.03972234358010413,buffered
cifar10,clean,symmetric,0.0,0.05,1.0,3,3,1,0.32975317328094567,0.989259519842837,0.0486154270411234,0.0482703137570394,no_buffer
cifar10,clean,symmetric,0.0,0.1,0.5,3,3,3,0.9953289083048676,0.9953289083048676,0.05118648468692977,0.05072343791901313,buffered
cifar10,clean,symmetric,0.0,0.1,0.7,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076064,0.05149026637292207,buffered
cifar10,clean,symmetric,0.0,0.1,1.0,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076064,0.05149026637292207,no_buffer
cifar10,sym35,symmetric,0.35,0.05,0.5,3,3,0,0.0,,,,buffered
cifar10,sym35,symmetric,0.35,0.05,0.7,3,3,0,0.0,,,,buffered
cifar10,sym35,symmetric,0.35,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar10,sym35,symmetric,0.35,0.1,0.5,3,3,1,0.0338535998026107,0.1015607994078321,0.0919796140746519,0.0504273504273504,buffered
cifar10,sym35,symmetric,0.35,0.1,0.7,3,3,0,0.0,,,,buffered
cifar10,sym35,symmetric,0.35,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar100,asym20,asymmetric,0.2,0.05,0.5,3,3,1,0.04604929120902754,0.1381478736270826,0.0494857149328364,0.0278657378087397,buffered
cifar100,asym20,asymmetric,0.2,0.05,0.7,3,3,0,0.0,,,,buffered
cifar100,asym20,asymmetric,0.2,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar100,asym20,asymmetric,0.2,0.1,0.5,3,3,3,0.22513001964186477,0.22513001964186477,0.07946750503461134,0.046897017272870205,buffered
cifar100,asym20,asymmetric,0.2,0.1,0.7,3,3,2,0.1969940552489308,0.2954910828733962,0.0864514744756743,0.06550492389712985,buffered
cifar100,asym20,asymmetric,0.2,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar100,clean,symmetric,0.0,0.05,0.5,3,3,3,0.4353444313625376,0.4353444313625376,0.045374233249971106,0.028142688497563198,buffered
cifar100,clean,symmetric,0.0,0.05,0.7,3,3,1,0.16084227613767652,0.4825268284130296,0.0449057843331095,0.0325719960278053,buffered
cifar100,clean,symmetric,0.0,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar100,clean,symmetric,0.0,0.1,0.5,3,3,3,0.5660827774321662,0.5660827774321662,0.06831379326355454,0.049662974938065034,buffered
cifar100,clean,symmetric,0.0,0.1,0.7,3,3,3,0.6390292779922078,0.6390292779922078,0.08507318518384364,0.07076122447221776,buffered
cifar100,clean,symmetric,0.0,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar100,sym35,symmetric,0.35,0.05,0.5,3,3,0,0.0,,,,buffered
cifar100,sym35,symmetric,0.35,0.05,0.7,3,3,0,0.0,,,,buffered
cifar100,sym35,symmetric,0.35,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar100,sym35,symmetric,0.35,0.1,0.5,3,3,2,0.0833035927606635,0.12495538914099524,0.0865940936960116,0.0622197909058606,buffered
cifar100,sym35,symmetric,0.35,0.1,0.7,3,3,0,0.0,,,,buffered
cifar100,sym35,symmetric,0.35,0.1,1.0,3,3,0,0.0,,,,no_buffer
