dataset,regime,alpha,baseline_name,n_seeds_total,n_seeds_certified,certified_seeds,mean_certified_coverage_all_seeds,min_certified_coverage_all_seeds,mean_certified_coverage_certified_only,mean_cert_risk_ucb_on_best_certified,mean_test_risk_on_best_certified,mean_test_coverage_on_best_certified
cifar10,asym20,0.05,full_coverage,3,0,,0.0,0.0,,,,
cifar10,asym20,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,
cifar10,asym20,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,
cifar10,asym20,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar10,asym20,0.05,srcc_main,3,0,,0.0,0.0,,,,
cifar10,asym20,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,
cifar10,asym20,0.1,full_coverage,3,0,,0.0,0.0,,,,
cifar10,asym20,0.1,ltt_bonferroni,3,3,0 1 2,0.5013375054389559,0.4196664836192861,0.5013375054389559,0.099124969161679,0.07271463162138266,0.5407000000000001
cifar10,asym20,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,
cifar10,asym20,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar10,asym20,0.1,srcc_main,3,3,0 1 2,0.5143017331417302,0.4829264284698527,0.5143017331417302,0.08272805779385657,0.06922507520331343,0.5309
cifar10,asym20,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,
cifar10,clean,0.05,clean_trained_upper_bound,3,3,0 1 2,0.9794419466886622,0.972696238700284,0.9794419466886622,0.04512610263965947,0.04450950871232243,0.9851333333333333
cifar10,clean,0.05,full_coverage,3,1,1,0.33293414158561335,0.0,0.99880242475684,0.0492095653050631,0.052,1.0
cifar10,clean,0.05,ltt_bonferroni,3,3,0 1 2,0.9654645846167984,0.9618001851174044,0.9654645846167984,0.04960601234180986,0.0419451403426244,0.9790666666666666
cifar10,clean,0.05,naive_empirical_threshold,3,2,0 1,0.6630326984988518,0.0,0.9945490477482777,0.0478522803532754,0.0501351568785197,0.9972
cifar10,clean,0.05,no_buffer_proposal,3,1,0,0.32975317328094567,0.0,0.989259519842837,0.0486154270411234,0.0482703137570394,0.9944
cifar10,clean,0.05,srcc_main,3,3,0 1 2,0.9794419466886622,0.972696238700284,0.9794419466886622,0.04512610263965947,0.04450950871232243,0.9851333333333333
cifar10,clean,0.05,uncertified_empirical_threshold,3,2,0 1,0.6630326984988518,0.0,0.9945490477482777,0.0478522803532754,0.0501351568785197,0.9972
cifar10,clean,0.1,clean_trained_upper_bound,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076064,0.05149026637292207,0.9995333333333334
cifar10,clean,0.1,full_coverage,3,3,0 1 2,0.99880242475684,0.99880242475684,0.99880242475684,0.050497186877982665,0.0519,1.0
cifar10,clean,0.1,ltt_bonferroni,3,3,0 1 2,0.9960464409536964,0.9960464409536964,0.9960464409536964,0.0611861106816766,0.05161871715700097,0.9996333333333333
cifar10,clean,0.1,naive_empirical_threshold,3,3,0 1 2,0.9985695746483073,0.998103874431242,0.9985695746483073,0.05050395372850983,0.05149026637292207,0.9995333333333334
cifar10,clean,0.1,no_buffer_proposal,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076064,0.05149026637292207,0.9995333333333334
cifar10,clean,0.1,srcc_main,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076064,0.05149026637292207,0.9995333333333334
cifar10,clean,0.1,uncertified_empirical_threshold,3,3,0 1 2,0.9985695746483073,0.998103874431242,0.9985695746483073,0.05050395372850983,0.05149026637292207,0.9995333333333334
cifar10,sym35,0.05,full_coverage,3,0,,0.0,0.0,,,,
cifar10,sym35,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,
cifar10,sym35,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,
cifar10,sym35,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar10,sym35,0.05,srcc_main,3,0,,0.0,0.0,,,,
cifar10,sym35,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,
cifar10,sym35,0.1,full_coverage,3,0,,0.0,0.0,,,,
cifar10,sym35,0.1,ltt_bonferroni,3,0,,0.0,0.0,,,,
cifar10,sym35,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,
cifar10,sym35,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar10,sym35,0.1,srcc_main,3,1,2,0.0338535998026107,0.0,0.1015607994078321,0.0919796140746519,0.0504273504273504,0.117
cifar10,sym35,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,
cifar100,asym20,0.05,full_coverage,3,0,,0.0,0.0,,,,
cifar100,asym20,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,
cifar100,asym20,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,
cifar100,asym20,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar100,asym20,0.05,srcc_main,3,1,0,0.04604929120902754,0.0,0.1381478736270826,0.0494857149328364,0.0278657378087397,0.1579
cifar100,asym20,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,
cifar100,asym20,0.1,full_coverage,3,0,,0.0,0.0,,,,
cifar100,asym20,0.1,ltt_bonferroni,3,3,0 1 2,0.22537020550756778,0.1823752404780673,0.22537020550756778,0.0965643445175865,0.05229356452235177,0.26476666666666665
cifar100,asym20,0.1,naive_empirical_threshold,3,1,0,0.1303079393571622,0.0,0.3909238180714866,0.0991629921646532,0.090057636887608,0.4164
cifar100,asym20,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar100,asym20,0.1,srcc_main,3,3,0 1 2,0.28190842394133503,0.2547431060772127,0.28190842394133503,0.08893638496439744,0.05987365296845693,0.3065
cifar100,asym20,0.1,uncertified_empirical_threshold,3,1,0,0.1303079393571622,0.0,0.3909238180714866,0.0991629921646532,0.090057636887608,0.4164
cifar100,sym35,0.05,full_coverage,3,0,,0.0,0.0,,,,
cifar100,sym35,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,
cifar100,sym35,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,
cifar100,sym35,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar100,sym35,0.05,srcc_main,3,0,,0.0,0.0,,,,
cifar100,sym35,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,
cifar100,sym35,0.1,full_coverage,3,0,,0.0,0.0,,,,
cifar100,sym35,0.1,ltt_bonferroni,3,2,0 1,0.06399676451458776,0.0,0.09599514677188165,0.09808387981606564,0.0570212007044608,0.13435
cifar100,sym35,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,
cifar100,sym35,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,
cifar100,sym35,0.1,srcc_main,3,2,0 1,0.0833035927606635,0.0,0.12495538914099524,0.0865940936960116,0.0622197909058606,0.1544
cifar100,sym35,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,
